Comentário,Nota
sempre atende as minhas solicitações,10
pra ficar ainda melhor deveria juntar os dois limites e ser um só como os outros cartões,8
"um cartão muito bom , com muitas vantagens .",10
bom atendimento,10
a facilidade e os descontos na compra .,9
falta de dinheiro,5
"preços acessível , variedades e bom atendimento",10
"a cobrança da anuidade do cartão , se fosse ezento de anuidade , seria ótimo , ja que temos cartões que não cobra anuidade .",8
ñ consigo acesa a pastas de saldos,2
"paga anuidade , paga pelo adicional , e nunca aumenta o limite",4
cartão tem limite baixo e cobrança de anuidade,1
esta travando muito,3
"em relação á bandeira , até hoje não recebi . e em relação ao limite , vcs congelam muitooo !",2
cartão e ótimo,10
o atendimento prestado na loja . excelente,10
"as tacas estão muito altas , a anuidade por exemplo é muito alta .",8
não tenho cartão se alguém tem no meu nome é fraude vou denunciar,0
"precisão , rapidez .",10
o bom atendimento,10
"ótimo . o único ponto negativo é que não libera o limite imediatamente , mesmo pagando a fatura no caixa da loja . esperar 72 horas para nova compra quando estamos precisando imediatamente .",8
o app é ruim não dar pra ver o limite e nem a fatura horrivel poderia melhorar,2
o atendimento pode ser melhor .,7
n gostei muito sou cliente a anos e so posso comprar no  sendo q tem muita gente com cartao visa e master,6
é um cartão muito bom e sem complicação na fatura,10
por pagar anuidade eu até então não indicaria ninguém . apesar que por enquanto não estou pagando por conta que negociei para 12 meses sem pagar . o limite estaciona .,5
a cho que vale apena,10
o atendimento e rapidez,10
praticidade .,9
anuidade,9
premiacao e os preços está convidativel,7
simplesmente não consigo acessar o cartão no app pois enviam um código de verificação p um número q não é meu,1
qualidade e diversidade de produtos alem de precos baixos,10
a presteza no atendimento,10
"muito bom e fácil de usar , crédito e muito bom .",10
bom atendimento,9
"praticidade , facilidade e tranquilidade",10
sim,10
"muito bom o cartão vc tem desconto nas redes  , pode usar em outros estabelecimento . só falta diminuir a anuidade porisso não dei nota 10",8
"descontos , praticidade e bons preços .",10
por quê preciso almeta o limite do cartão já pedi mais não almataro,8
é um otimo cartão so nao dei 10 pq o limite dele demora muito p almentar as vezes até um ano ou mas tiramdo isso é muito bom,8
promoções e atendimento,10
simplesmente maravilhoso,10
"é muito bom , que pena que o limite é pouco , eu queria um aumento de limite , se possível.obrigado",10
esse cartão sempre me atendeu . nunca falhou,10
boa,10
não comprei nada . desconheço !,0
a facilidade de acesso a loja,10
daria 10 se tirasse a anuidade,9
"o cartão em si é excelente , o limite que deixa a desejar .",7
"pq com o cartão e o aplicativo temos descontos , como hj está td muito caro .... qq desconto é válido",10
muito bom e tem desconto com o cartão,8
"cartão muito bom , disponibiliza limite alto e outras vantagens , que continue assim obrigado ! !",10
tudo ocorreu bem ..,10
"ótimo cartao , super ajuda",10
nunca tive problema com seu uso . satisfeita . obrigada .,10
"caixa muito lento , não agiliza o atendimento !",3
"porque vocês infelizmente dão péssimos limites . tenho 1 ano já com vocês e nunca aumentou o péssimo limite .. onde vou optar a evitar o uso já que 650 nem compras de mês da para fazer , tenho que usar outros cartões",4
"muito bom , e tem boa aceitação .",10
simples e fácil de fazer compras neles,9
porque eu amo comprar no garboso,10
facilidade de compras,8
"a única coisa que faz com que eu coloco essa nota é a anuidade que é muito alta eu pago r $ 16,90 é muito alto no final do ano dá mais de r $ 200,00. próximo dia 15 de abril eu vou quitar o cartão e vou cancelar porque é muito alto o valor que pago de anuidade",8
cartao nao tem burocracia,10
limite de crédito muito baixo ... e ainda não consigo acessar o cartão no app depois que mudou ! ! !,5
muito bom esse cartão só a anuidade e muito caro,9
a chance de se adquirir um eletrodoméstico com prestações dentro do orçamento,10
como faco para aumenatr o meu limite,10
pela facilidade de encontrar tudo o que preciso em um só lugar e sem burocracia .,10
atendimento,10
sempre foi aceito em todod lugares em que pasei .,10
é um ótimo cartão já tenho ele a anos gosto muito .e obrigada por ter ele agora em crédito tb,10
por ser ótimo em tudo,10
inuidade caríssima enquanto o limite é péssimo baixíssimo demais,0
"já tenho ele a um bom tempo , nunca me deu problema .",10
ótimo de usar,10
um limite bom,10
confiabilidade e bons preços,10
preço bom e qualidade,10
"boa noite , u motivo e já fazem um bom tempo que utilizo o cartão e o limite e esmo",5
nunca me deu problema,10
devido a forma de pagamento que tem um bom parcelamento . quanto ao preço das mercadorias já foi bem melhor no passado .,7
satisfação em utilizar o cartão e a facilidade de encontrar o que preciso na loja,10
prático,10
pela gentileza,10
atendimento recebido no eletroshow,10
e ótimo o cartão,10
"eu posso comprar e parcelar em muitas vezes . isso é bom , quando você compra eletro doméstico .",10
"crédito bom , atendimento , facilidade",10
"agilidade , facilidade e praticidade",10
"recomendo o cartão , muito bom !",10
só para não convencer vcs e sobre melhorar mais ? ? ? ?,9
"ótimo cartão , não tenho o que reclamar",10
"porque os produtos são de qualidade , o atendimento é vip .",10
"os preços , o atendimento , e às vantagens .",10
fui bem atendido,10
sempre tem promoção amo,10
bom de comprar variedade em tudo,10
por que e maravilhoso compra com o cartão ,10
são os preços acima do mercado varejista .,5
facilidade em compras e prazo pra pagamento .,9
melhor cartao,10
apredi a usar o cartão quando não sabia era difícil porque ter limite parcelado e rotativo eu imaginava que poderia usar tudo de uma vez só mas não é como é eu pensei eu indico sim cartão ajuda a controla nosso gasto,10
um lugar agradavel bom atendimento,10
gosto do atendimento e das variedades de produtos,10
mal atendimento nas lojas problema no cartão  . tipo ñ resolver o problema de clonagem .,2
não me mandam a fatura por email já pedi várias vezes,2
fácil uso e ótima aceitação,10
ótimo limite jurus baixos,10
não encontrei certo produto .,8
pq eu gostei e o limite dele é muito bom .,10
"desbloqueio imediato após pagamento , ótimo para quem precisa do limite liberado",10
foi bom usar o cartão .. queria q aumentasse o limite quando possivel,10
atendimento otimo,10
hum bom atendimento,10
bloqueia muito rápido qdo atraso,6
cartão excelente super indico,10
atendimento e preço,9
por faltar facilidade em solicitar a fatura site,7
preco,5
foi ótimo poder comprar que eu quero .,10
gosto muito deste cartão mas apesar de ser cliente a tanto tempo o limite ainda é baixo e a anuidade é alta .,9
"a variedade de produtos , que encontro na loja ,",10
quase sempre que eu uso este cartão da cartão recusado ? ? ? ? ? ? ? ? ? ? ? ? que vergonha ? ? ? ? !,5
é um excelente cartão não tenho que falar só tenho falar que é bom,10
devido a boa atenção para com os clientes e qualidade das mercadorias,10
ótimo atendimento,9
usufruto de promoções .,10
por que é um cartão bom e tem muita economia,10
"tenho esse cartão já tá com anos ... e o meu limite nunca aumenta , ainda não cancelei ele ... pq ainda tenho compras pra pagar . quando estiver zerado , eu vou cancelar ele . tenho outros melhor e com limite alto .",0
rápido prático estão de parabéns,10
muito satisfeito com o cartão . deveria melhorar o intervalo de atualizações das compras no app . demorando alguns dias para aparecer .,10
simples e prático de usar .,10
muito bom cartão de crédito,10
"bom dia ! ! ! ficaria mais fácil se no próprio estabelecimento do , pudéssemos resolver assunto como : nos informar o motivo da demora do novo cartão , aumento de crédito ( mínimo ) no momento de uma compra , ter um telefone para uma eventual ligação para a empresa ( matriz ) , ok ?",8
facilidade de compra rápida .,9
muito fácil de copra,10
e um socorro nos momento de aperto ainda temos quarenta días para pagar,8
excelente cartão só não dou nota 10 pois nos dias atuais ainda cobram anuidade e falta opção de cartão virtual e pagamento por aproximação,8
gentileza no atendimento,10
"a unica coisa que acho negativa é quando quero efetuar uma antecipação de pagamento . não consigo , é super burocrático .",9
até agora estar tudo bem,10
lugar tranquilo pra se comprar,10
muito bom esse cartão,10
sempre tem promoções e facilita ao pagar,10
"pessimo atendimento , demora no atendimento sistema fora do ar . demora pra emitir nota fiscal , caixas vazios sem atendimento , fila grande .",1
"app a desejar , não consegui acessar , sempre trava , ter que indicar produtos pra promoção . se já tem o app pra isso ?",5
bom atendimento ... obs não estou conseguindo abrir no app cartão cerconsud a fatura ... saldos e limites,9
"porque o cartão é ótimo , facilita muito a minha vida em minhas compras ...",10
"recebe em vários lugares , isso nós da tranquilidade nas compras",10
pq excelente,10
praticidade e limite disponível .,10
excelente cartão .,8
depende da assinatura,0
excelente tratamento . cartão nunca mim deixou na mão,10
eficiência,10
"faço pagamento adiantado da fatura e demora ainda 2 dias úteis para poder utilizar . pedi um aumento no limite , me informaram que era pra ir até um supermercado para levar pessoalmente comprovante de renda pra ver se vão aumentar o meu limite , sendo que hoje isso é totalmente possível através de e-mail , sem contar que utilizo o cartão desde 2015/2016 e utilizo muito . enfim não indico pra ninguém o cartão da rede . tenho outros cartões de crédito , assim que as outras financeiras aumentar para 5 mil de crédito nos outros cartões , irei cancelar esse cartão que tenho da rede .",0
"não estou entendendo como esta o limite , do nada fala que meu limite acabou , leva mais de 5 dias para liberar . eu passo o cartão 1 vez e o limite some , depois de 3 diaas tem limite de novo . até hoje não aumentaram meu limite gostaria que aumentasse",9
mal atendimento na compra de eletrodomésticos,6
"é útil , pena que ainda tem anuidade",7
gostaria de mais limites,9
eh um mercado que tem tudo mas eh caro,8
tô gostando do cartão,8
"foi pedido pelo aplicativo do que fosse atualizado , realizei a atualização depois disso não consigo mais entrar no aplicativo na parte do cartão . já liguei para central não resolveram nada , já mudei a senha e nada de chegar o código para meu celular isso é um absurdo",3
o melhor,10
não tenho dificuldade em utiliza-lo,9
"já sou cliente por anos , e gosto dos produtos e a forma de negociar .",9
excelente gostei muito qualidade poupe,10
cinco,5
limite pouco e vcs tem um negocio de limite a vista ou parcelado e um saco,1
pouco crédito,7
oi boa tarde e um cartão que kuanto mais compramos mas limites tem maravilhoso agradeço a vocês,10
e bom,10
aplicativo ruim,5
por falta de aumento de limite e mensalidade alta juros alto,6
9 porque nem tudo é 100 %,9
pela facilidade em e os produtos .,10
entre o mínimo é o máximo opteie pela média,8
"o cartão com chip , nunca peguei . porque dizem está disponível , só entrava em uma centra , distante da minha casa , mas vou ao local ouço não está . o limite o mesmo",7
tudo ótimo,10
ótimo e baixo custo,10
péssimo atedimento na central de atendimento horas ou indo a musiquinha de espera,3
"é muito bom o cartão , descontos bons mas deveria ter um aplicativo só para o cartão , no app do fica muito limitado não dá pra fazer praticamente nada nele .",9
,3
top,10
"rapidez , aceitacao logistica",10
satisfeito com as compras realizadas . no cartão .,10
anuidade e juros altos . prefiro algumas vezes usar outro cartão,5
vericou que meu limite não aumentou a mais de 10 anos,8
"pq fiquei muito tempo na fila , só tinha dois caixa aberto . precisa colocar mais funcionários pq 9 e meia da manhã com 2 caixa aberta acho uma falta de respeito com nós clientes perdemos muito tempo",8
"na minha opinião não precisava cobrar anuidade , geralmente já uso pra comprar na loja .",8
não consigo puxar a minha fatura o meu aplicativo não abre,4
satisfacao .,10
excelentes descontos e promoções .,10
confiança,10
promoção,8
variedades de produtos qualidade dos produtos,10
muito bom só falta melhorar o app,10
atendimento ótimo,10
nao tem praticidade,6
bom de mais,10
porque em outras operadoras ( ou super mercados ) compras parcela são sem juros inclusve alimentos,5
em relação a anuidade do cartão é muito alta . quanto ao cartão sem problemas nenhum . só a anuidade que não estou satisfeita . pois tenho cartão do banco que trabalho que tenho anuidade e estou buscando diminuir o valor mais é do meu trabalho não tenho como desfazer .,5
"absurdo anuidade , e limite desprezível nunca fui bem atendido com relação a meu app que nunca funcionou . e pago um cartão sombra nunca usado , assim que possível irei vancela-lo",5
opções de descontos,10
"os descontos , no cartão e muito bom desconto no app tbm ótimo .",10
cartão com bom limite .,10
taxas absurda,3
bom eu recomendo,8
o atendimento do caixa,10
um bom atendimento,10
praticidade,9
gostei,10
um lixo,0
o cartão é muito bom mesmo,10
excelente,10
"o cartão é bom , só acho caro a mensalidade .",8
anuidade alta,8
satisfeito !,10
foi rápido e fácil,10
um cartão excelente só falta tira não ter anuidade,10
um ótimo atendimento,10
atendimento é parcelamento longo,10
"só uso porque é o jeito ! a anuidade é muito cara , só tô usando ele porque ainda não consegui cancelar , pois ligo pra central de atendimento e não consigo falar com ninguém .",1
"tem amigos que vale a pena vc indicar um cartao de credito , mas tem uns que falam que sao amigos que nao merecem .",5
sempre atendendo minhas expectativas ? ? ? ?,10
pq consigo comprar normalmente com ele .,10
"cartão bem aceito no mercado lojistas , só preciso de aumentar limite ..",10
nunca tive problemas com este cartão,10
é otimo,10
muito objetivo !,10
"o atendimento da moça que me procurou para fazer o cartão e por vocês terem tirado a anuidade , não acho justo ter que pagar anuidade , pois tenho outros cartões que não pago .",10
"gostei do cartão é da oportunidade que no . seu , não tinha cartão",9
o atendimento e ótimo eu só tenho uma queixa até hoje a senha do meu cartão na chegou e eu não posso comprar nada com ele estou desapontada,10
"fiz duas compras a primeira autorizou a segunda não , além de não poder aproveitar as promoções na loja pois alegaram falta de internet para ativar , detalhe o wi-fi da loja está funcionando .",2
péssimo horrível,0
a facilidade que o cartão me proporciona ..,10
atendimento otimo,10
os descontos e promoções .,9
porque hoje em dia se consegue cartão com mensalidades zero e limites maiores .,6
o atendimento e muito bom também tem várias promoções,10
o atendimento das lojas é péssimo .,4
fui atendida ao contento ... uma vez que achei o que queria ... obrigada,10
não gosto muito desse cartão porque cobra taxas . gosto de cartão sem anuidade e nem taxas .,7
é muito aceito .,10
"o limite e baixo , a forma e de crédito é ruim , essa questão do rotativo e parcelado .. os descontos não estão compensando !",0
prático transparente e de boa aceitação .,10
préciso entender o cartão melhor e aproveitar as vantagens,8
séria melhor sem anuidade,8
"falta de produtos , muito caro os produtos esses descontos que o faz é propaganda enganosa , e os eletrodomésticos com preços altissimos",5
as vantagens em parcelas sem juros e a facilidade nas comprad,9
a minha é muito importante né o cartão agora eu queria aumento no meu cartão,10
porque é um cartão ótimo,10
porque é bom e os preços e os funcionários atende ó cliente bem,10
simplesmente amo esse cartão .,10
e um cartão que se pode usar em qualquer lugar excelente cartão nota 10,10
porque.nunca.me.decepicionou,10
por não ser rápido e precisa ligar para o atendimento,4
excelente cartao,9
"não indico pq venho tentando resolver alguns cancelamentos e não consigo contato , vcs dificultam demais o atendimento ao cliente .",0
um ótimo atendimento .,10
transparência,10
mt bom,9
não fiz compra nenhuma hoje,0
ótima aceitação,10
facilidade apesar de pequeno limite !,9
nunca tive problemas com ele,10
só não leva dez pq os preços estão altos .,8
"rápido , ágil e de qualidade",10
limite cartão nunca aumenta !,0
"sim , e indicaria sim a qualquer pessoa",10
porque tem dois limites distintos parcelado e rotativo mais na hora da compra um limite implica no outro eu as vezes passamos muito contragementos na hora da compra por causa disso .,7
gostei,10
anuidade muito cara um absurdo pra pessoa manter o cartão paga esse absurdo,1
limite pouco,6
"praticidade , confiança",10
"taxa de anuidade muito alta cartão demora pra aumentar limite , contato com a empresa muito difícil",4
"fiz uma compra no credito de 533 reias e quando fui olha falou que usei 915 de credito parcelado , entao estao cobrando de juros 380 reias , é um absurdo , gostaria de entender oq esta acontecendo , pois no mercado a moça não sabe explicar . aguado retorno",5
anuidade muito cara,3
benefícios do cartão,10
bom ! ! ! !,10
porque já solicitei a muito tempo o cartão com chip ( visa ) e nunca me responderam,6
filas mto grandes demoradas na loja,8
9 gostei muito,9
"preço , opções e qualidade de produtos ...",10
otimo,9
"quando fecha a fatura o limite é bloqueado com base no rotativo , já passei vergonha usando ele .",0
em relação ao rotativo e o parcelado,5
legal,10
muito transtorno ao finalizar a compra para receber o desconto informado,4
"uma anuidade absurda eu pago sem contar no seguro que nuca pedi e colocaram . já tentei cancelar e não consigo porque a central nuca atende , e aonde eu fiz um cartão não faz cancelamento é uma piada né .",0
vocês não informaram que cobrariam juros e eu não vou pagar juros . entendeu ?,0
muito bom de usar,9
muito bom o atendimento e a comodidade !,10
muito bom o cartão,10
limite bom pro meu uso era bom se fosse mais alto o limite,9
a praticidade do uso do cartão,10
o bom atendimento sem falar nas vantagens que e ter esse cartão ajudar muito,10
referente ao atendimento excelente,10
"deveria ter uma opção pelo aplicativo para adianta as parcelas e também eliminar está taxa de anuidade , mas é um cartão ? ? ? ? confiável ? ? ? ?",8
,2
"pela primeira vez que uso , achei excelentebe super indico .",10
porque o meu sistema ms não está funcionando fiz compra e não vi nada que a pessoa que eu comprei,10
precisão no atendimento e praticidade,10
"cartão muito bom . não dou 10 porque o limite não é tão bom , poderiam da um limite um pouco maior .",9
"é um cartão prático e rápido , só preciso q aumente mais meu limite pq as vezes preciso fazer uma compra especifica e não consigo obrigado .",9
e bom e otimo,10
devido a transparência !,10
nao usei meu cartao,0
não tenho qualquer dificuldade com o cartão . o app pode melhorar e as taxas cobradas não concordo .,8
pouco limite,1
cartão muito bom e os preços também,10
um pouco bom utilizar ele,6
está sendo util para mim,10
ha demora de almetar o limite é muito acho que vou cancelar ok,5
não é 10 porque todo mês há taxas extras para pagar .,8
anuidade muito alta,3
o atendimento foi maravilhoso ! !,10
prático .... só pela necessidade mesmo .. atendimento na loja é péssimo,7
"em primeiro lugar , que achei super educada e pratica foi a atendende jo do montes claros batalhão , segundo os descontos muito bom",10
pq meu limite não sai de 200 reais isso é uma vergonha pro cliente devido a ter muintos anos cadastro com vcs,7
por que cobra muitas tachas e unidades diferencial e unidades de mais coisas só numa coisa que agora não tou lembrando e 40e algumas coisas não tou gostando disso,5
produtos e atendimento com excelência !,10
porquer depois que eu utilizo o rotativo não uso mais o parcelado porque é não tem limite mais ai fica complicado,2
facilidade e descontos,10
não tenho,10
por conta do limite ser pouco e não aumentar,4
o bom atendimento .,10
tenho cartao santander e o limite è 20 vezes maior ! ! ! ! ! !,5
"tem uma condição boa de parcelamento , para os seus clientes .",10
a forma de divisão do limite de compra não mim satisfaz e a taxa de adm do cartão é muito alta pra um cartao que não mim oferecer limite de compras maior pra compras em outras lojas fora !,2
cartão muito bom pagamento facilitado por poder pagar no caixa do agora dei nota 7 por não valoriza os clientes o cartão vem com pouco limite e passa anos e anos e não dão aumento de limites,7
bom dia porque alem do atendimentoser excelente eficiencia no cartao de credito,10
facilidade de uso do cartão . meu limite é ótimo . sempre supri minhas necessidades .,10
só não mais nota alta por que a unidade do cartão é muito alta,6
um cartão de crédito que nao aumenta o limite . tenho o cartão há mais de 9 anos e nunca mim dero aumento,4
ja tenho este cartão a mas 8 anos e ate agora limite e mesmo do inicio,10
"bom o que acontece e que bloquearam o meu cartão , porque no dia 19/03 fui informar meu novo endereço o atendente não entendeu , acredito que vocês possam colocar pessoas melhores para atender , não sei se era fim de semana , a pessoa ja estava de saco cheio , sei lá e ai ficou de ligar e ate agora não ligou . sinto muito adoro o cartão mas o atendimento deixa a desejar . helena",8
bom serviço e qualidade,10
rapidez e facilidade de uso,10
sou cliente há mais de vinte anos sem nenhuma insatisfação,7
amo comprar no tem tudo que preciso e melhor do lado de minha casa .,10
a aceitação sem dificuldade em qualquer lugar,10
"tenho irmão na fé que trabalha no , por este motivo está valendo .....",8
desconto atraente,10
"esse cartão é uma bosta , faz a gente passar vergonha se não tivermos prevenidos com essa porcaria de limite rotativo e limite parcelado . vou cancelar em breve .",0
muito bom as vantagens do cartão ,9
mt bom excelente cartão passa em todos os lugares,10
"não , tá aparecendo nada meu aplicativo",0
"dez é muito perfeito , somos humanos ! ! .",9
,8
"me senti muitíssimo humilhada ao fazer uma compra no supermercado é mesmo minha fatura estando completamente paga e paga antes da data de vencimento meu cartão estava bloqueado . achei um absurdo ! o caixa ficou parado , a fila ficou imensa , a gerente foi chamada e foram mobilizados vários funcionários para resolver o problema já que no sistema do estava tudo ok , então tive que ligar no sac e mesmo assim meu cartão continuou bloqueado , passada todo esse vexame tive que pagar com outro cartão após quase uma hora de pessoas me olhando com raiva por estarem aguardando na fila com o caixa sem poder fazer nada . foi já humilhação imensa ! não quero que nem um amigo ou familiar passe por essa situação constrangedora . jamais indiarei esse cartão à ninguém , nem mesmo aos meus inimigos .",0
pelo desconto e a forma de parcelamento,10
"um ótimo cartão de crédito sem dúvidas já sou cliente a muitos anos , só precisa diminuir o valor da anuidade um pouco , éstou precisando de um aumento de limite no meu cartão poderiam aumentar meu limite anteciosamente obrigado .",10
muito bom serviço,10
o aplicativo deixa muito a desejar . e vcs não aumenta meu limite a anos já fiz pedido e nada,4
uma empresa bem organizada . ótimo atendimento dos funcionários . desde quando inaugurou a loja que sou cliente aqui em brotas e as vezes visito as lojas do iguatemi e costa azul com o mesmo bom atendimento .,10
facilidade e aceitação,10
boa gosteii,10
"há mais de 1 ano estou suplicando para aumentar meu limite e nada , aí vem uma operadora de cartão e me oferece o dobro do limite que eu tenho com vcs . resumindo ... estou me livrando de vcs logo logo ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?",1
por causa da anuidade que poderia ser por ano,6
só quero cancelar meus cartão ja ate cortei,0
"ele é bom o ruim é q tem q pedir limite mesmo que vc pague certo , e a anuidade dele é cara , preferia sem anuidade",8
"a demora na fila para pagamento , era para ter um caixa so para compras de eletro , para agilizar a vida do cliente",7
juros altos,7
funciona . só o app que não gosto . nunca aparece o saldo,9
"e um cartão ótimo , me ajuda de mas facilidade no uso , gostaria de ter um aumento p poder comprar uma tv na loja  pois o meu limite não dar",10
serenidade,10
as vantagens q o cartão tem,10
muito rápido a liberação,10
"praticidade , comodidade",10
sempre compro e gosto,10
porque mesmo o cliente pagando por anos as faturas sem atraso não aumentão o limite do cartão . a taxa da anuidade é cara .,1
atendimento perfeito,8
um bom cartão,9
"já tenho o cartão já alguns anos e estou satisfeito ? agora uma crítica construtiva , acho que o padrão de frios tem que melhorar .",8
ótimo atendimento e fácil manuseio pela primeira vez da compra,10
bom cartao,10
é um bom cartão mais o limite não sobe automaticamente é muito burocrático pra almentar o limite,7
esse tempo todo nn aumento meu limite,9
preço ótimos,10
muito prático .,10
o atendimento às mercadorias é a rapidez,10
anuidade cobrada caríssimo para um cartão sem bandeira .,3
muito bom mesmos para compras,10
complicado de mais pra desbloquear ? ? ? ?,0
muito bom,10
o cartão e bom e tem vantagem de compras,9
cartão é show,10
facilidade e preço,10
bom peço,10
juros altíssimos,7
gostei muito,10
porque chegou em boa hora e vai mim ajudar muito obrigado pela atenção e compreensão do colaborador do mercado vou ter um ótimo desempenho pra mim,10
"foi muito rápido a liberação do cartão , com bom limite , estou muito satisfeito .",10
otimas promocões,10
muito bom e com muitos descontos,10
muito bom os descontos,10
pra mim foi bom,7
é um cartão muito prático e aceita em muitos estabelecimentos .,10
"facilidade , só não gosto da anuidade",10
muito bom o cartão estou muito satisfeito,10
no dia da entrega não tinha o produto que selecionei,1
"o cartão  é o único cartão que nos deixa na mão ! vou pagar o que devo e vou cancelar , por ter crédito no parcelado e não poder comprar por não ter mais limite no rotativo . isso causa uma insatisfação muito grande .",1
limite do cartão não sobe e os preços das coisas sobem .,0
"anuidade cara , limite que não aumenta , etc",2
"no ato da adesão fui informada dos limites que teria para o cartão , porém não fui informada que no fechamento da mesma o valor seria fechado no valor que teria para compras a vista . por várias vezes não conseguir utilizar meu cartão por conta dessa informação , tinha limite e não podia utilizar . efetuei um pagamento da fatura na loja e o limite não entrou no ato , informei que a fatura estava em atraso , e mesmo a sim a op de caixa me informou que entraria , quando fui efetuar compra não conseguir , depois de várias tentativas , conseguir conversar com a gerente da loja e a mesma me explicou o motivo .",5
muito bom . pena que preciso pagar a anuidade .,9
"fiz uma compra de 4 reais , e minha fatura veio de 31 reais . faltou uma explicação da pessoa que mim atendeu e fez meu cartão .",5
muito bom fazer compra no cartão de ,9
compra unidade,2
porque eu amo o cartão . só tenho a agradecer ao cartão,10
limite inicial bom,10
gosto do cartão,9
juro absurdo,0
"falta de compressão para com o cliente , a mais de 2 anos tenho esse cartão , e pra aumentar o limite , é preciso tá ligando",0
atendimento ao cliente tinha que melhorar,1
adoro,10
fiz o cartão com 3000 de limite 2000pacelado 1000 a vista chegando no caixa só liberou cento e pouco no cartão ia cancelar no mesmo dia só que os atendentes já tinha ido embora,1
anuidade .antes de inauguração da loja na minha cidade ñ cobrava .,5
facilidade na forma de pagamento,10
foi muito bom ser aprovada tá precisando de um cartão ? ? ? ? ? ? ? ? ? ? ? ?,10
preços mais em conta !,10
"ele é ótimo por ser aceito em todo comércio , mas por outro lado tem um limite muito baixo , pago as faturas em dias e o limite não alimenta , é baixo de mais esse valor de limite , por isso não dô 10",5
"pelo compromisso vocês tem com o consumidor , é um cartão acessível .um cartão excelente",10
"sempre gostei de comprar no . sou cliente há mais de 36 anos , desde o primeiro cartão. ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?",10
na minha opinião vocês deveriam se preocupara mais com a logistica de entrega dos cartoes : o primeiro cartão chegou o aviso de senha e o cartão nunca chegou ! ! ! precisou ser cancelado e solicitado um novo ! ! ! o segundo chegou o cartão e a senha só veio chegar quase um mes depois ! já estava prestes a desistir ! ! ! por isto estou dando nota 7 ! ! !,7
não aumenta o limite .,5
"não só uso porque não compra anuidade , mais no dia que cobrar eu paro de usar",0
satisfação nas minhas compras,9
"aplicativos onde você monitora o cartão e tem acesso a fatura é péssimo , se você perde sua senha ou tem algum problema ela é enviada por correios e demora em média 20 dias , a forma de controle de gastos é horrível .",5
"cartão ótimo de fácil manuseio , as vezes o que complica é esse rotativo que é diferente dos outros cartões . por isso minha nota 9. e pra ser melhor ainda a anuidade deveria ser mais em conta .",9
preço bom,10
não consegui visualizar a fatura . ficam de enviar codigo e por sms e nao enviam,1
insatisfeito com a cobrança de juros para parcelamento no próprio cartão da.loja,0
utilizei na rede  e gostei dos descontos,10
ótima experiência de está utilizando o cartão ,10
eu esperava ter mais benefício pôr usar esse cartão o limite não almenta,6
showw,10
por quê o aplicativo não mostra quanto foi gasto demora para exibir o total,4
o bom atendimento e a qualidade dos produtos .,10
o aumento de limite,7
até o momento atendeu minhas necessidades,8
"o cartão não é um cartão confiável , pois libera um limite rotativo e outro parcelo , no ato da compra do parcelado altera o rotativo , sem falar que não bate os valores de limite e de compra , pois eu estava com 394 no rotativo , passei apenas 22 reais em uma compra e o limite simplesmente zerou , me deixando na mão , com compras que estava em planejamento ! inclusive quero cancelar e não estou conseguindo pq sempre fala que a rede está ocupada ! horrível , sem falar na anuidade e entre outros",0
rapidez na resposta da solicitação,9
especificar o limite esse limite rotativo e parcelado dificulta muito,8
"é um bom cartão , mas , estou procurando um cartão que pontua .",8
a anuidade é alta demais .,7
acessível !,10
tenho a muito tempo e nunca tive problema .,10
"eu utilizo o cartão por duas décadas , quer motivo melhor ?",10
eu gostei é um cartao muito bom propiciona muitas parceladas . que ótimo,10
porque e ótimo,7
cartao muito bom,9
? ? ? ? ? ? ? ?,7
só não foi melhor porque na minha compra de um smartphone foi colocada uma garantia estendida no valor de 150 que eu não pedir ! !,6
essa questão do rotativo e muito mal informado,2
devido ao atendimento em geral e descontos oferecidos em compras dentro do próprio supermercado com cartão .,10
a disponibilidade e como eu já tenho um tempo usando.até aqui nunca tive problemas com compras em nada . ótimo cartão parabéns .,10
eu gostei muito,10
"ruim e o limite que e pouco , mais passa aceita em todo estabelecimento",6
quero aumentar o limite e poder comprar mais,10
ele é otimo se n fosse a anuidade mensal daria 10,7
os juros são muito altos .,8
o serviço é muito bom,10
meu preferencial,10
não conseguimos até hj saber o que é valor de a vista e de parcelado,8
"o cartão é bom , mas tem anuidade mensal mesmo você não comprando . se eu soubesse que era assim , não teria feito o cartão . o limite também é estranho . tem um parcelado e um a vista sendo que o a vista é menor . não gosto de comprar parcelado . fica ruim depois para quitar . gosto de comprar no mês e pagar tudo .",6
pela os meios de comunicação e aceitação,10
me ajuda e muito,10
limites,10
ótimo cartão falta só chegar o cartão,10
porque está sendo útil pramim muito bom,9
anuidade cara,7
sem burocracias,10
"cartão muito bom , porém se não tivesse anuidade seria melhor ainda",10
,6
excelente atendimento,10
é muito bom o cortao porei demou chegar muito poriso tive muitos beoblemas com a senha,8
tem diversidade de produtos,10
praticidade !,10
tenho esse cartão nem sei porque ainda não aumenta meu limite um cartão que eu só posso compra menos de 800 reais esse que chama de limite já fiz de tudo pra aumenta é até agora nada,4
gostei do cartão gostaria de aumento no limite,9
ótima,9
os preços dos produtos com a compra com o cartão,10
,7
